date,acquried_company,acquring_company,business,country,price
"November 11, 2015",Fly Labs,Google Photos,Video editing,United States,—
"November 11, 2015",bebop,Google Cloud Platform,Cloud software,United States,"$380,000,000"
"February 12, 2016",BandPage,YouTube,Platform for musicians,United States,—
"February 18, 2016",Pie,Spaces,Enterprise communications,Singapore,—
"May 2, 2016",Synergyse,Google Docs,Interactive learning platform,Canada,—
"June 22, 2016",Webpass,Google Fiber,Internet service provider,United States,—
"July 6, 2016",Moodstocks,Google Photos,Image recognition,France,—
"July 8, 2016",Anvato,Google Cloud Platform,Cloud-based video services,United States,—
"July 12, 2016",Kifi,Spaces,Link management,United States,—
"July 27, 2016",LaunchKit,Firebase,Mobile developer tools,United States,—
"August 8, 2016",Orbitera,Google Cloud Platform,Cloud software,United States,"$100,000,000"
"September 8, 2016",Apigee,Google Cloud Platform,API management and predictive analytics,United States,"$625,000,000"
"September 15, 2016",Urban Engines,Google Maps,Location-based analytics,United States,—
"September 19, 2016",API.AI,Google Assistant,Natural language processing,United States,—
"October 11, 2016",FameBit,YouTube,Branded content,United States,—
"October 24, 2016",Eyefluence,,"Eye tracking, virtual reality",—,—
"November 5, 2016",LeapDroid,Android,Android Emulator,United States,—
"November 21, 2016",Qwiklabs,Google Cloud Platform,Cloud-based hands-on training platform,—,—
"December 13, 2016",Cronologics,Android Wear,Smartwatches,United States,—
"January 5, 2017",Limes Audio,"Google Duo, Google Hangouts",Voice communication,Sweden,—
"January 19, 2017",Fabric,Firebase,Mobile app platform,United States,—
"March 8, 2017",Kaggle,Google Cloud Platform,Data science,United States,—
"March 9, 2017",AppBridge,Google Docs,Productivity suite,United States,—
"May 10, 2017",Owlchemy Labs,,Virtual reality studio,United States,—
"July 12, 2017",Halli Labs,,Artificial intelligence,India,—
"August 16, 2017",AIMatter,YouTube,Computer vision,Belarus,—
"September 21, 2017",HTC (portions),Google Pixel,Talent and intellectual property licenses,Taiwan,"$1,100,000,000"
"September 26, 2017",Bitium,Google Cloud Platform,Single sign-on and identity management,United States,—
"October 9, 2017",Relay Media,Accelerated Mobile Pages,AMP converter,United States,—
"October 11, 2017",60db,"Google Play Music, Google Podcasts",Podcasts,United States,—
"January 11, 2018",Redux,,Audio,United Kingdom,—
"March 27, 2018",Tenor,"Google Images, Gboard",GIF image search,United States,—
"May 9, 2018",Velostrata,Google Cloud Platform,Cloud migration,Israel,—
"May 14, 2018",Cask,Google Cloud Platform,"Big data, Hadoop",United States,—
"August 6, 2018",GraphicsFuzz,Android,GPU reliability,United Kingdom,—
"September 19, 2018",Senosis,Nest Labs,Health monitoring,United States,—
"October 2, 2018",Onward,,"Machine learning, natural language processing",United States,—
"November 28, 2018",Workbench Education,Google Classroom,Education technology,United States,—
"December 10, 2018",Sigmoid Labs,Google Maps,Indian Railways Train Tracking,India,"$40,000,000"
"December 20, 2018",DevOps Research and Assessment,Google Cloud Platform,Research and Assessment,United States,—
"January 3, 2019",Superpod,Google Assistant,Question and answer app,United States,"$60,000,000"
"February 19, 2019",Alooma,Google Cloud Platform,"Big data, cloud migration",Israel,—
"March 31, 2019",Nightcorn,YouTube,Video sharing,Germany,—
"June 6, 2019",Looker,Google Cloud Platform,"Big data, analytics",United States,"$2,600,000,000"
"July 9, 2019",Elastifile,Google Cloud Platform,File storage,United States,—
"October 16, 2019",Socratic,Google Classroom,Learning apps,United States,—
"November 18, 2019",CloudSimple,Google Cloud Platform,Cloud hosting,United States,—
"December 19, 2019",Typhoon Studios,Stadia,Video game development,Canada,—
"January 14, 2020",AppSheet,Google Cloud Platform,Mobile app development,United States,—
"January 14, 2020",Pointy,Google Maps,Local retail inventory feeds,Ireland,"$163,000,000"
"February 19, 2020",Cornerstone Technology B.V.,Google Cloud Platform,"Mainframe, cloud migration",Netherlands,—
